ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,ILID,Synergist
98312,Band kneeling one arm pulldown,Strength,Back,Band,Male,Latissimus Dorsi,0660,"Deltoid Posterior, Levator Scapulae, Obliques, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
98612,Band One Arm Overhead Biceps Curl,Strength,Upper Arms,Band,Male,Brachialis,0661,"Biceps Brachii, Brachioradialis"
99012,Band One Arm Twisting Seated Row,Strength,Waist,Band,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers",0662,"Brachialis, Brachioradialis, Deltoid Posterior, Obliques, Pectoralis Major Sternal Head"
99112,Band pull through,Strength,Hips,Band,Male,Gluteus Maximus,0663,"Adductor Magnus, Erector Spinae, Hamstrings"
99312,Band Reverse fly,Strength,Shoulders,Band,Male,Deltoid Posterior ,0664,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
99412,Band Reverse Wrist Curl,Strength,Forearms,Band,Male,Wrist Extensors,0665,
99512,Band Seated Hip External Rotation,Strength,Hips,Band,Male,Deep Hip External Rotators,0666,
99612,Band Seated Hip Internal Rotation,Strength,Hips,Band,Male,"Gluteus Medius, Tensor Fasciae Latae",0667,
100112,Band single leg split squat,Strength,Hips,Band,Male,Gluteus Maximus,0668,"Adductor Magnus, Quadriceps, Soleus"
100412,Band Squat,Strength,Thighs,Band,Male,Gluteus Maximus,0669,"Adductor Magnus, Quadriceps, Soleus"
100512,Band standing crunch,Strength,Waist,Band,Male,Rectus Abdominis,0670,Obliques
100612,Band Rear Delt Row,Strength,Shoulders,Band,Male,Deltoid Posterior ,0671,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
100812,Band Step-up,Strength,Hips,Band,Male,Gluteus Maximus,0672,"Adductor Magnus, Gastrocnemius, Quadriceps, Soleus"
101612,Band Wrist Curl,Strength,Forearms,Band,Male,Wrist Flexors,0673,
101712,Band Y Raise,Strength,Shoulders,Band,Male,Deltoid Lateral,0674,"Deltoid Anterior, Deltoid Posterior, Serratus Anterior"
101812,Band shrug,Strength,Back,Band,Male,Trapezius Upper Fibers ,0675,"Levator Scapulae, Trapezius Middle Fibers"
101912,Band side bend (female),Strength,Waist,Band,Female,Obliques,0676,Iliopsoas
102212,Band standing rear delt row,Strength,Shoulders,Band,Male,Deltoid Posterior ,0677,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
102312,Band straight back stiff leg deadlift,Strength,Hips,Band,Male,Gluteus Maximus,0678,"Adductor Magnus, Hamstrings"
102712,Assisted Single Leg Press,Strength,Thighs,Leverage machine,Male,Pectoralis Major Sternal Head,0679,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
