ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,video_url
275912,Lever Side Hip Abduction (female),Strength,Hips,Leverage machine,Female,"Gluteus Medius, Tensor Fasciae Latae",,https://gymvisual.com/modules/productmedia/uploads/ea7b04e648acd3e4dce8f1436fc9007d.mp4
276012,Resistance Band Hip Thrust (female),Strength,Hips,Resistance Band,Female,Gluteus Maximus,Hamstrings,https://gymvisual.com/modules/productmedia/uploads/84a6398dacf9ced7e6629fccb87773eb.mp4
276112,Ankle - Dorsal Flexion,Stretching,Calves,Body weight,Male,Tibialis Anterior,,https://gymvisual.com/modules/productmedia/uploads/478a98b1a490fc199ed0d72b5a1acb03.mp4
276212,Ankle - Plantar Flexion,Stretching,Calves,Body weight,Male,"Gastrocnemius, Soleus",,https://gymvisual.com/modules/productmedia/uploads/f1453803b40fb4c5f2afadda42db3d60.mp4
276312,Elbow - Extension,Stretching,Upper Arms,Body weight,Male,Triceps Brachii,,https://gymvisual.com/modules/productmedia/uploads/aa49152320a544ecb450977bc8d92d4a.mp4
276412,Elbow - Flexion,Stretching,Upper Arms,Body weight,Male,"Biceps Brachii, Brachialis, Brachioradialis",,https://gymvisual.com/modules/productmedia/uploads/41b02a2f6942b3e19f6990395929a7fd.mp4
276512,Forearm - Pronation,Stretching,Forearms,Body weight,Male,Wrist Flexors,,https://gymvisual.com/modules/productmedia/uploads/47ac718c4b7944f02b60ff274233b32b.mp4
276612,Forearm - Supination,Stretching,Forearms,Body weight,Male,"Biceps Brachii, Wrist Extensors",,https://gymvisual.com/modules/productmedia/uploads/e670d01f89b101b255aa305df87e75bb.mp4
276712,Hip - Abduction,Stretching,Hips,Body weight,Male,"Adductor Brevis, Adductor Longus, Adductor Magnus, Gluteus Medius, Pectineous, Tensor Fasciae Latae",,https://gymvisual.com/modules/productmedia/uploads/ed2ee5a3a51903e57ec9ec7a44155765.mp4
276812,Hip - Adduction,Stretching,Hips,Body weight,Male,"Adductor Brevis, Adductor Longus, Adductor Magnus, Gracilis, Pectineous",,https://gymvisual.com/modules/productmedia/uploads/5eccf0d75b8da974613267276b04c102.mp4
276912,Hip - Extension,Stretching,Hips,Body weight,Male,"Gluteus Maximus, Hamstrings",,https://gymvisual.com/modules/productmedia/uploads/f6b695a567388cdc714473f2b107713f.mp4
277012,Hip - Flexion,Stretching,Hips,Body weight,Male,"Iliopsoas, Quadriceps, Tensor Fasciae Latae",,https://gymvisual.com/modules/productmedia/uploads/ce885d93bc2bc960d404bf772aa4223d.mp4
277112,Hip - Lateral Rotation (External Rotation),Stretching,Hips,Body weight,Male,Sartorius,,https://gymvisual.com/modules/productmedia/uploads/55dd4971b131d3eff89e7218badc3ad3.mp4
277212,Hip - Medial Rotation (Internal Rotation),Stretching,Hips,Body weight,Male,"Gluteus Medius, Tensor Fasciae Latae",,https://gymvisual.com/modules/productmedia/uploads/3bd3aa7c046c0a6c2eceacbcef187c9a.mp4
277312,Knee - Extension,Stretching,Thighs,Body weight,Male,Quadriceps,,https://gymvisual.com/modules/productmedia/uploads/2e9427483215d99f0b0f13d36dfc9e03.mp4
277412,Knee - Flexion,Stretching,Thighs,Body weight,Male,"Gastrocnemius, Hamstrings",,https://gymvisual.com/modules/productmedia/uploads/e3ed5f2cb3542d6551bef703fb90643f.mp4
277512,Shoulder - Abduction,Stretching,Shoulders,Body weight,Male,"Deltoid Anterior, Deltoid Lateral, Pectoralis Major Clavicular Head",,https://gymvisual.com/modules/productmedia/uploads/1d481921ce474a356f978a8a5ef469a9.mp4
277612,Shoulder - Adduction,Stretching,Shoulders,Body weight,Male,"Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii",,https://gymvisual.com/modules/productmedia/uploads/de9befe203b2da9bb4f20aaf8e6e35e3.mp4
277712,Shoulder - Extension,Stretching,Shoulders,Body weight,Male,"Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii",,https://gymvisual.com/modules/productmedia/uploads/9e3fafcd9fe32a231ad3c01864a783af.mp4
277812,Shoulder - Flexion,Stretching,Shoulders,Body weight,Male,"Biceps Brachii, Deltoid Anterior, Deltoid Lateral, Pectoralis Major Clavicular Head",,https://gymvisual.com/modules/productmedia/uploads/da0e24f8acf18457194a9d5def36d70e.mp4
277912,Shoulder - Lateral Rotation (External Rotation),Stretching,Shoulders,Body weight,Male,"Deltoid Posterior , Infraspinatus, Teres Minor ",,https://gymvisual.com/modules/productmedia/uploads/9e4be7d56b23242640ef68144835ec43.mp4
278012,Shoulder - Medial Rotation (Internal Rotation),Stretching,Shoulders,Body weight,Male,"Deltoid Anterior, Latissimus Dorsi, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",,https://gymvisual.com/modules/productmedia/uploads/2cc570d7c49b16d00f9f389caf4e9c66.mp4
278112,Shoulder - Transverse Abduction,Stretching,Shoulders,Body weight,Male,"Deltoid Posterior , Infraspinatus, Teres Minor ",,https://gymvisual.com/modules/productmedia/uploads/a9608d0d21a4c0c0ccc751cec45fdcdb.mp4
278212,Shoulder - Transverse Adduction,Stretching,Shoulders,Body weight,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",,https://gymvisual.com/modules/productmedia/uploads/7cdf63f99884ca4a3580dd33221e35a6.mp4
278312,Shoulder - Transverse Extension,Stretching,Shoulders,Body weight,Male,"Deltoid Posterior , Infraspinatus, Latissimus Dorsi, Teres Minor ",,https://gymvisual.com/modules/productmedia/uploads/803cd6be88335ddef7350669a33bb529.mp4
278412,Shoulder - Transverse Flexion,Stretching,Shoulders,Body weight,Male,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",,https://gymvisual.com/modules/productmedia/uploads/6996a241791634889bd869c9c60a1c7a.mp4
278512,Spine (Lumbar) - Extension,Stretching,Hips,Body weight,Male,"Erector Spinae, Trapezius Lower Fibers",,https://gymvisual.com/modules/productmedia/uploads/b51ec10f4e717de79a0b5d802c5e7785.mp4
278612,Spine (Lumbar) - Flexion,Stretching,Hips,Body weight,Male,"Obliques, Rectus Abdominis",,https://gymvisual.com/modules/productmedia/uploads/f2b78362cd09a352ae95e36a0e610d84.mp4
278712,Spine (Lumbar) - Lateral Flexion,Stretching,Hips,Body weight,Male,"Iliopsoas, Obliques",,https://gymvisual.com/modules/productmedia/uploads/9890f5fd038de94c8a9255923c18cd09.mp4
278812,Spine (Lumbar) - Rotation,Stretching,Hips,Body weight,Male,"Iliopsoas, Obliques",,https://gymvisual.com/modules/productmedia/uploads/7e1215f04426c1fb670012ed104538b3.mp4
278912,Wrist - Adduction,Stretching,Forearms,Body weight,Male,Wrist Flexors,,https://gymvisual.com/modules/productmedia/uploads/341022ddfdc3cd1b2fab9648add8c393.mp4
279012,Wrist - Extension,Stretching,Forearms,Body weight,Male,Wrist Extensors,,https://gymvisual.com/modules/productmedia/uploads/4d1758a944baf5391a68bb24d82dff70.mp4
279112,Wrist - Flexion,Stretching,Forearms,Body weight,Male,Wrist Flexors,,https://gymvisual.com/modules/productmedia/uploads/b54858f2335e9c3566ae5a3948dfdcfc.mp4
279412,Burpee (female),Aerobic,Cardio,Body weight,Female,,,https://gymvisual.com/modules/productmedia/uploads/475b7622a2b134aed5e0918b333a11b3.mp4
280112,Twisted Leg Raise (female),Strength,Waist,Body weight,Female,"Iliopsoas, Obliques, Rectus Abdominis","Quadriceps, Sartorius",https://gymvisual.com/modules/productmedia/uploads/3566461e8988cbbb589650600932d425.mp4
280212,Twisted Leg Raise,Strength,Waist,Body weight,Male,,,https://gymvisual.com/modules/productmedia/uploads/28021201twistedlegraisewaistview.mp4
280412,Dumbbell Supported Squat,Strength,Thighs,Dumbbell,Male,,,https://gymvisual.com/modules/productmedia/uploads/28041201dumbbellsupportedsquatthighsview.mp4
280712,Dumbbell Sumo Pull Through,Strength,Hips,Dumbbell,Male,,,https://gymvisual.com/modules/productmedia/uploads/28071201preview.mp4
280812,Dumbbell Sumo Pull Through (female),Strength,Hips,Dumbbell,Female,"Erector Spinae, Gluteus Maximus, Gluteus Medius","Adductor Magnus, Hamstrings, Quadriceps",https://gymvisual.com/modules/productmedia/uploads/f85185c9aeed883ecfe4d03cdc9fbb76.mp4
280912,Barbell Split Squat (VERSION 2),Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/28091201barbellsplitsquatversion2hipsview.mp4
281112,Barbell Leg Twist Press,Strength,Waist,Barbell,Male,,,https://gymvisual.com/modules/productmedia/uploads/28111201barbelllegtwistpresschestview.mp4
281512,V-up Down (with Stability ball),Strength,Waist,Stability ball,Male,,,https://gymvisual.com/modules/productmedia/uploads/28151201vupdownwithstabilityballwaistview.mp4
281612,V-Up-Down (with Stability ball) (female),Strength,Waist,Stability ball,Female,,,https://gymvisual.com/modules/productmedia/uploads/28161201preview.mp4
281712,Barbell Skier (female),Strength,Shoulders,Barbell,Female,,,https://gymvisual.com/modules/productmedia/uploads/28171201barbellskierfemaleshouldersview.mp4
281912,Lever Preacher Curl (VERSION 2) (female),Strength,Upper Arms,Leverage machine,Female,Brachialis,"Biceps Brachii, Brachioradialis",https://gymvisual.com/modules/productmedia/uploads/becb927bc7a8c9dd167681e77b3a8fee.mp4
282012,Lever Triceps Extension (VERSION 2) (female),Strength,Upper Arms,Leverage machine,Female,Triceps Brachii,,https://gymvisual.com/modules/productmedia/uploads/9644c6e41929324d5b18c3f678d053e3.mp4
282112,Exercise Ball Back Extension With Hands Behind Head (female),Strength,Back,Stability ball,Female,Erector Spinae,Gluteus Maximus,https://gymvisual.com/modules/productmedia/uploads/28211201exerciseballbackextensionwithhandsbehindheaview.mp4
282212,Lever Seated Reverse Fly (female),Strength,Shoulders,Leverage machine,Female,Deltoid Posterior ,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://gymvisual.com/modules/productmedia/uploads/d080bffcaca864f4a106377103f1b348.mp4
282312,Deep Push-Up (female),Strength,Chest,Dumbbell,Female,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/1d8798e063ee38642de450a6a522f69b.mp4
282512,Exercise Ball One Legged Diagonal Kick Hamstring Curl (female),Strength,Hips,Stability ball,Female,,,https://gymvisual.com/modules/productmedia/uploads/28251201exerciseballoneleggeddiagonalkickhamstringcview.mp4
283512,Cable Narrow Chair Stand-Up,Strength,Hips,Cable,Female,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/ef7f9a51c61c6e808f8ade6d9828ab30.mp4
283612,Cable Stiff Leg Deadlift from Stepbox (female),Strength,Hips,Cable,Male,"Erector Spinae, Gluteus Maximus",Hamstrings,https://gymvisual.com/modules/productmedia/uploads/8e956541fd6ebcac0d3726ed5405a9eb.mp4
283812,Bicycle (female),Stretching,"Hips, Thighs, Waist",Body weight,Female,"Hamstrings, Obliques, Quadriceps, Rectus Abdominis","Adductor Magnus, Gastrocnemius, Tensor Fasciae Latae",https://gymvisual.com/modules/productmedia/uploads/28381201bicyclepilatesview.mp4
283912,Chest Lift with Rotation (female),Stretching,Waist,Body weight,Female,"Obliques, Rectus Abdominis",,https://gymvisual.com/modules/productmedia/uploads/28391201chestliftwithrotationpilatesview.mp4
284012,Control Balance (female),Stretching,"Hips, Thighs, Waist",Body weight,Female,"Erector Spinae, Gluteus Maximus, Hamstrings, Obliques, Rectus Abdominis","Gastrocnemius, Quadriceps, Soleus",https://gymvisual.com/modules/productmedia/uploads/28401201controlbalancepilatesview.mp4
