ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,video_url
112,3/4 Sit-up,Strength,Waist,Body weight,Male,Rectus Abdominis,Obliques,https://gymvisual.com/modules/productmedia/uploads/5660a5320f469c5764c6e5ffc56d72d4.mp4
212,45 Degree Side Bend,Strength,Waist,Body weight,Male,Obliques,Iliopsoas,https://gymvisual.com/modules/productmedia/uploads/9ac767916211907d3b33ed1cea86a996.mp4
312,Air Bike (male),Strength,Waist,Body weight,Male,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis",https://gymvisual.com/modules/productmedia/uploads/85b09815557e1d93d245176dd0eae66a.mp4
412,Air Twisting Crunch (female),Strength,Waist,Body weight,Female,,,https://gymvisual.com/modules/productmedia/uploads/00041201preview.mp4
612,Alternate Heel Touchers,Strength,Waist,Body weight,Male,Obliques,,https://gymvisual.com/modules/productmedia/uploads/15e2db6ae38d1cd18a2486e7de7f2293.mp4
812,Alternate Lying Floor Leg Raise,Strength,Waist,Body weight,Female,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae",
912,Assisted Chest Dip (kneeling),Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Teres Major, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/00091205preview.mp4
1512,Assisted Parallel Close-Grip Pull-up,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Levator Scapulae, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers",https://gymvisual.com/modules/productmedia/uploads/cb55c5779aba20c25b33342f0a076e10.mp4
1712,Assisted Pull-up,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers",https://gymvisual.com/modules/productmedia/uploads/cc56de37fa91cdfba2e0a4ae7d7e0bbc.mp4
1912,Assisted Triceps Dip (kneeling),Strength,Upper Arms,Leverage machine,Male,Triceps Brachii,"Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major",https://gymvisual.com/modules/productmedia/uploads/a443214236f545e5edfb9e6fbbe406af.mp4
2112,Ball Sit-up (on stability ball),Strength,Waist,Stability ball,Female,Rectus Abdominis,"Iliopsoas, Obliques, Quadriceps, Sartorius, Tensor Fasciae Latae",https://gymvisual.com/modules/productmedia/uploads/03ff9fb7040e0b5cfdf1edbcbe0a90cb.mp4
2212,Barbell Pullover-To-Press,Strength,Back,Barbell,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Trapezius Middle Fibers, Trapezius Upper Fibers",
2312,Barbell Alternate Biceps Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis",https://gymvisual.com/modules/productmedia/uploads/c8c2286c5671d3f4cad8535b748192d7.mp4
2512,Barbell Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/00251201barbellbenchpresschestfix2view.mp4
2612,Barbell Bench Squat,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/13901b5d9b43a58c233f636d848edb9c.mp4
2712,Barbell Bent Over Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior",https://gymvisual.com/modules/productmedia/uploads/fa1e8792a9a7fe77e989556f63d0aeae.mp4
2812,Barbell Clean and Press,Strength,Shoulders,Barbell,Male,"Deltoid Anterior, Gluteus Maximus, Quadriceps",,https://gymvisual.com/modules/productmedia/uploads/4c27006752e2fb638f3e3293047dd7a2.mp4
2912,Barbell Clean-grip Front Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/00291201barbellcleangripfrontsquatthighsfixview.mp4
3012,Barbell Close Grip Bench Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",https://gymvisual.com/modules/productmedia/uploads/905ff2a13ead42d640141519c2d7a95c.mp4
3112,Barbell Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis",https://gymvisual.com/modules/productmedia/uploads/df17c37323179bf62ee92bbdaf3dc7c1.mp4
3212,Barbell Deadlift,Strength,Hips,Barbell,Male,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus",https://gymvisual.com/modules/productmedia/uploads/2582d8ce80513e0ad9899f59e6b77afa.mp4
3212,Barbell Deadlift,Strength,Hips,Barbell,Male,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus",https://gymvisual.com/modules/productmedia/uploads/a15e63c7a96a3fcce3c6e2f72da0a065.mp4
3312,Barbell Decline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/4c4ec79d951944904680aad3bed01f33.mp4
3812,Barbell Drag Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Posterior",https://gymvisual.com/modules/productmedia/uploads/dd414c18c0a0654a03410656795250ff.mp4
3912,Barbell Front Chest Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/8c62f0f657c8cbff8839b43114a71bfa.mp4
4112,Barbell Front Raise,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",https://gymvisual.com/modules/productmedia/uploads/7b7b386a0a1690af699a567c27a92fa0.mp4
4212,Barbell Front Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/cf5a5e0a49cdf34bcda45452ce4c6a81.mp4
4312,Barbell Full Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/dea0fd8f14ecdd17fcd1efc45613235b.mp4
4412,Barbell Good Morning,Strength,Hips,Barbell,Male,Hamstrings,"Adductor Magnus, Gluteus Maximus",https://gymvisual.com/modules/productmedia/uploads/00441201barbellgoodmorningthighsfixview.mp4
4512,Barbell Guillotine Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/00451205preview.mp4
4612,Barbell Hack Squat,Strength,"Hips, Thighs",Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/2ece99937bff1c84a68a381a2c3725bf.mp4
4712,Barbell Incline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/00471205barbellinclinebenchpresschestfix2view.mp4
4912,Barbell Incline Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Minor , Tibialis Anterior, Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Pectoralis Major Sternal Head",https://gymvisual.com/modules/productmedia/uploads/844a5e9404d64e06fdd68a41c4133b1e.mp4
5112,Barbell Jefferson Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/1a67932caad1740d320d1deab6c1c0c9.mp4
5212,Barbell JM-Bench Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Sternal Head",https://gymvisual.com/modules/productmedia/uploads/fe6e09a13d11639e9f0f937be5d9f588.mp4
5312,Barbell Jump Squat,Aerobic,Plyometrics,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Gastrocnemius, Soleus",https://gymvisual.com/modules/productmedia/uploads/2a6522c7d257b704b61110398241d4fb.mp4
5412,Barbell Lunge,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/5fc190d902195bf93ca59ce8e14a4ea7.mp4
5512,Barbell Lying Close-grip Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Sternal Head",https://gymvisual.com/modules/productmedia/uploads/40cc6dc3e5d410b89dc51e8f13457e3d.mp4
5712,Barbell Lying extension,Strength,Upper Arms,Barbell,Male,Triceps Brachii,,
6012,Barbell Lying Triceps Extension Skull Crusher,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",https://gymvisual.com/modules/productmedia/uploads/aa612bfbf70e6cd0b342f3a41fa737e6.mp4
6412,Barbell One Arm Bent over Row,Strength,Back,Barbell,Male,,,https://gymvisual.com/modules/productmedia/uploads/00641201barbellonearmbentoverrowbackview.mp4
6612,Barbell One Arm Side Deadlift,Strength,"Hips, Thighs",Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/2fa94ebc246427aeb08fe6f6e2e7e61c.mp4
6812,Barbell One Leg Squat,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus",https://gymvisual.com/modules/productmedia/uploads/fbbd4dd566867ba3581726eee425b94d.mp4
6912,Barbell Overhead Squat,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus",https://gymvisual.com/modules/productmedia/uploads/482e9476d4efc1581aa53e045b003e0c.mp4
7012,Barbell Preacher Curl,Strength,Upper Arms,Barbell,Male,Brachialis,"Biceps Brachii, Brachioradialis",https://gymvisual.com/modules/productmedia/uploads/a290e2662d592ac114f21dd25a20e5a3.mp4
7212,Barbell Prone Incline Curl,Strength,Upper Arms,Barbell,Male,Brachialis,"Biceps Brachii, Brachioradialis",https://gymvisual.com/modules/productmedia/uploads/8a1dd76f25ceae8d8c186a36fdff32d6.mp4
7412,Barbell Rack Pull,Strength,Hips,Barbell,Male,"Erector Spinae, Gluteus Maximus","Adductor Magnus, Hamstrings, Quadriceps, Soleus",https://gymvisual.com/modules/productmedia/uploads/2289836cc612110433db7c521cead339.mp4
7512,Barbell Rear Delt Raise,Strength,Shoulders,Barbell,Male,Deltoid Posterior ,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Lateral, Levator Scapulae, Trapezius Upper Fibers, Wrist Flexors",https://gymvisual.com/modules/productmedia/uploads/d3b41123164a598576322a196a96f689.mp4
7612,Barbell Rear Delt Row,Strength,Shoulders,Barbell,Male,Deltoid Posterior ,"Brachialis, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://gymvisual.com/modules/productmedia/uploads/00761201barbellreardeltrowshouldersview.mp4
7712,Barbell Rear Lunge (VERSION 2),Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/00771201barbellrearlungeversion2thighsview.mp4
7812,Barbell Rear Lunge,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/0f58e2a96ab7a294501492b3763109ce.mp4
7912,Barbell Revers Wrist Curl (VERSION 2),Strength,Forearms,Barbell,Male,Wrist Extensors,,https://gymvisual.com/modules/productmedia/uploads/465ae6506ab351ec823292ed3bd15c20.mp4
8012,Barbell Reverse Curl,Strength,Upper Arms,Barbell,Male,Brachioradialis,"Biceps Brachii, Brachialis",https://gymvisual.com/modules/productmedia/uploads/f12a0c5a27b666cc8bafa1ae65e84983.mp4
8112,Barbell Reverse Preacher Curl,Strength,Forearms,Barbell,Male,Brachioradialis,"Biceps Brachii, Brachialis",https://gymvisual.com/modules/productmedia/uploads/78e27af6c662028f572ba82570b22b48.mp4
8212,Barbell Reverse Wrist Curl,Strength,Forearms,Barbell,Male,Wrist Extensors,,https://gymvisual.com/modules/productmedia/uploads/5be2f20b717a64937890ca2dfc7dc178.mp4
8412,Barbell Rollout,Strength,Hips,Barbell,Male,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Deltoid Posterior, Pectineous, Pectoralis Major Sternal Head, Sartorius, Tensor Fasciae Latae, Teres Major",https://gymvisual.com/modules/productmedia/uploads/00841201barbellrollouthipsview.mp4
8512,Barbell Romanian Deadlift,Strength,Hips,Barbell,Male,"Erector Spinae, Gluteus Maximus","Adductor Magnus, Hamstrings, Quadriceps, Soleus",https://gymvisual.com/modules/productmedia/uploads/00851201barbellromaniandeadlifthipsview.mp4
8612,Barbell Seated Behind Head Military Press,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/624a44ef968436b9825637a3acb9b236.mp4
8812,Barbell Seated Calf Raise,Strength,Calves,Barbell,Male,Gastrocnemius,Soleus,
8912,Barbell Seated Close-grip Concentration Curl,Strength,Upper Arms,Barbell,Male,Brachialis,"Biceps Brachii, Brachioradialis",https://gymvisual.com/modules/productmedia/uploads/00891201barbellseatedclosegripconcentrationcurlupperview.mp4
9012,Barbell Seated Good morning,Strength,Hips,Barbell,Male,Gluteus Maximus,Hamstrings,https://gymvisual.com/modules/productmedia/uploads/063131ec55835ae1e115f155c98fb04c.mp4
9112,Barbell Seated Overhead Press,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/797e05cf742dab2af6ae53cb6ada7e0a.mp4
9212,Barbell Seated Overhead Triceps Extension,Strength,Upper Arms,Barbell,Male,Triceps Brachii,,https://gymvisual.com/modules/productmedia/uploads/79f6ad3147d24e9a7e11a3012ff3519f.mp4
9312,Barbell Seated Twist (on stability ball),Strength,Waist,Barbell,Female,Obliques,Iliopsoas,
9412,Barbell Seated Twist,Strength,Waist,Barbell,Male,Obliques,Iliopsoas,
9512,Barbell Shrug,Strength,Back,Barbell,Male,Trapezius Upper Fibers ,"Levator Scapulae, Trapezius Middle Fibers",
9612,Barbell Side Bent (version 2),Strength,Waist,Barbell,Male,Obliques,Iliopsoas,https://gymvisual.com/modules/productmedia/uploads/00961201barbellsidebentversion2waistfixview.mp4
9712,Barbell Side Split Squat (version 2),Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/b13d3b26a13bf1c36d551ef43efaa007.mp4
9912,Barbell Single Leg Split Squat,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/00991201barbellsinglelegsplitsquathipsview.mp4
10212,Barbell Squat (on knees),Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Hamstrings",https://gymvisual.com/modules/productmedia/uploads/c76aa231b7fd8838d38d93cc8ff73bbc.mp4
10412,Barbell Standing Back Wrist Curl,Strength,Forearms,Barbell,Male,Wrist Flexors,,https://gymvisual.com/modules/productmedia/uploads/0dca52930b72ba2d460884c5aad5acb7.mp4
10612,Barbell Standing Close-Grip Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis",https://gymvisual.com/modules/productmedia/uploads/b9e5e1937e1d9846c14c941c677f97be.mp4
10812,Barbell Standing Leg Calf Raise,Strength,Calves,Barbell,Male,Gastrocnemius,Soleus,https://gymvisual.com/modules/productmedia/uploads/aab629205a42b8bd20736c701fac4d23.mp4
11212,Barbell Standing Twist,Strength,Waist,Barbell,Male,Obliques,Iliopsoas,https://gymvisual.com/modules/productmedia/uploads/01121201barbellstandingtwistwaistview.mp4
11312,Barbell Standing Wide-grip Curl,Strength,Upper Arms,Barbell,Male,"Biceps Brachii, Brachialis",Brachioradialis,https://gymvisual.com/modules/productmedia/uploads/0aede8c3c1e03b07de75ea4abedb1b73.mp4
11412,Barbell Step-up,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/01141201barbellstepuphipsview.mp4
11612,Barbell Straight Leg Deadlift,Strength,Thighs,Barbell,Male,"Erector Spinae, Hamstrings","Adductor Magnus, Gluteus Maximus",https://gymvisual.com/modules/productmedia/uploads/01161205preview.mp4
11712,Barbell Sumo Deadlift,Strength,Hips,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus, Tensor Fasciae Latae",https://gymvisual.com/modules/productmedia/uploads/9fa25339409be0128c95695e89517a63.mp4
11812,Barbell Underhand Bent-over Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",https://gymvisual.com/modules/productmedia/uploads/d66fe68623e73953d5336f84e4ed8b0b.mp4
12012,Barbell Upright Row,Strength,Shoulders,EZ Barbell,Male,Deltoid Lateral,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://gymvisual.com/modules/productmedia/uploads/1cccce13ef744613e1eed0965d4bbe7a.mp4
12012,Barbell Upright Row,Strength,Shoulders,EZ Barbell,Male,Deltoid Lateral,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://gymvisual.com/modules/productmedia/uploads/d180fa7d3c941b8a8610b74407c0dab2.mp4
12112,Barbell Upright Row,Strength,Shoulders,Barbell,Male,,,
12112,Barbell Upright Row,Strength,Shoulders,Barbell,Male,,,https://gymvisual.com/modules/productmedia/uploads/01211205preview.mp4
12212,Barbell Wide Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",
12312,Barbell Wide Grip Upright Row,Strength,Shoulders,Barbell,Male,Deltoid Lateral,"Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://gymvisual.com/modules/productmedia/uploads/01231205preview.mp4
12412,Barbell Wide Squat,Strength,Hips,Barbell,Male,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus",https://gymvisual.com/modules/productmedia/uploads/5a6c75ad3fb0140e5d493945ea20ee05.mp4
12512,Barbell Wrist Curl (VERSION 2),Strength,Forearms,Barbell,Male,Wrist Flexors,,https://gymvisual.com/modules/productmedia/uploads/3c0528791d3b955bb111408cda9a77f4.mp4
12812,Battling Ropes,Strength,Shoulders,Rope,Male,Deltoid Posterior ,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://gymvisual.com/modules/productmedia/uploads/0d769e31323e087b4b88b64d7f8eb628.mp4
12912,Bench Dip (knees bent),Strength,Upper Arms,Body weight,Male,Triceps Brachii,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Sternal Head",https://gymvisual.com/modules/productmedia/uploads/01291201benchdipkneesbentupperarmsview.mp4
13012,Bench Hip Extension,Strength,Hips,Body weight,Male,Gluteus Maximus,Hamstrings,https://gymvisual.com/modules/productmedia/uploads/01301201benchhipextensionhipsview.mp4
13112,Bent knee Lying Twist (On Stability Ball),Strength,Waist,Stability ball,Female,Obliques,,https://gymvisual.com/modules/productmedia/uploads/01311201bentkneelyingtwistonstabilityballwaistfiview.mp4
13212,Bent knee Lying Twist,Strength,Waist,Body weight,Female,Obliques,,https://gymvisual.com/modules/productmedia/uploads/ba5455611b5264f2c7e82a77880f05e0.mp4
13612,Boat Stretch (female),Stretching,Waist,Body weight,Female,Rectus Abdominis,Quadriceps,https://gymvisual.com/modules/productmedia/uploads/9a42dd76b302ae27bc29d66dc7e4edd0.mp4
13712,Body-Up,Strength,Upper Arms,Body weight,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",https://gymvisual.com/modules/productmedia/uploads/37aa7e797c4ae50cbad6059fe1c3c0d6.mp4
13812,Bottoms-up (male),Strength,Waist,Body weight,Male,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Sartorius, Tensor Fasciae Latae",https://gymvisual.com/modules/productmedia/uploads/01381201bottomsupmalewaistview.mp4
14112,Bridge - Mountain Climber (Cross Body) (female),Strength,Waist,Body weight,Female,Obliques,"Adductor Brevis, Adductor Longus, Deltoid Anterior, Iliopsoas, Pectineous, Quadriceps, Rectus Abdominis, Tensor Fasciae Latae",https://gymvisual.com/modules/productmedia/uploads/e43616f5346bbf8e4c17ced84ac4bb00.mp4
14412,Bridge Hip Abduction,Strength,Hips,Body weight,Female,"Gluteus Medius, Tensor Fasciae Latae",,https://gymvisual.com/modules/productmedia/uploads/01441201preview.mp4
14612,Butt Kicks (female),Aerobic,Plyometrics,Body weight,Female,,,https://gymvisual.com/modules/productmedia/uploads/7c10a6b56cbc28c9414958fa58c0bebd.mp4
14712,Bycicle Twisting Crunch,Strength,Waist,Body weight,Female,"Obliques, Rectus Abdominis","Gluteus Maximus, Iliopsoas, Quadriceps",https://gymvisual.com/modules/productmedia/uploads/01471205bycicletwistingcrunchwaistfixview.mp4
14912,Cable Alternate Triceps Extension,Strength,Upper Arms,Cable,Male,Triceps Brachii,,https://gymvisual.com/modules/productmedia/uploads/01491201cablealternatetricepsextensionupperarmsview.mp4
15012,Cable Bar Lateral Pulldown,Strength,Back,Cable,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://gymvisual.com/modules/productmedia/uploads/80913257afaf68f92bd20b283330380c.mp4
15112,Cable Bench Press,Strength,Chest,Cable,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/aa3d7f493d44bc7709689339887cf13b.mp4
15212,Cable Concentration Extension (on knee),Strength,Upper Arms,Cable,Male,Triceps Brachii,,https://gymvisual.com/modules/productmedia/uploads/01521201cableconcentrationextensiononkneeupperarmsview.mp4
15312,Cable Cross-over Lateral Pulldown,Strength,Back,Cable,Male,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://gymvisual.com/modules/productmedia/uploads/045fcd90ebd7e8c4016ed2cd894675bf.mp4
15412,Cable Cross-over Revers Fly,Strength,Shoulders,Cable,Male,Deltoid Posterior ,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://gymvisual.com/modules/productmedia/uploads/5c8d02beedb3e674ee95d30fa8e48b3b.mp4
15612,Cable Curl (female),Strength,Upper Arms,Cable,Female,Biceps Brachii,"Brachialis, Brachioradialis",https://gymvisual.com/modules/productmedia/uploads/bded501e67f07dbe1ce8de2b2e8c3d2c.mp4
15712,Cable Deadlift,Strength,"Hips, Thighs",Cable,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/a1c056c0d106df8aba9118e6e5002294.mp4
15812,Cable Decline Fly,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head",https://gymvisual.com/modules/productmedia/uploads/98d504d10d514757b32484c27cf06b71.mp4
15912,Cable Decline Seated Wide-grip Row,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior",
16112,Cable Forward Raise,Strength,Shoulders,Cable,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",https://gymvisual.com/modules/productmedia/uploads/5f68123c141e4577be1ae2e011443ba5.mp4
16212,Cable Front Raise,Strength,Shoulders,Cable,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",https://gymvisual.com/modules/productmedia/uploads/d5121d5db81f3a89abe5d77020c35c33.mp4
16312,Cable Front Seated Row,Strength,Back,Cable,Female,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior",https://gymvisual.com/modules/productmedia/uploads/7ab38ab1dc5891cad7363bec64838ae7.mp4
16512,Cable Hammer Curl (with rope) (male),Strength,Upper Arms,Cable,Male,Brachioradialis,"Biceps Brachii, Brachialis",https://gymvisual.com/modules/productmedia/uploads/d7c99eede16d597741ebbf82bf2fbc6c.mp4
16612,Cable Hammer Curl,Strength,Upper Arms,Cable,Female,Brachioradialis,"Biceps Brachii, Brachialis",https://gymvisual.com/modules/productmedia/uploads/e847948c5c0700b7c1a2069a13bc3f43.mp4
16812,Cable Hip Adduction,Strength,Thighs,Cable,Male,Adductor Longus,"Adductor Brevis, Adductor Magnus, Gracilis",https://gymvisual.com/modules/productmedia/uploads/81c60b7554f46783e47f19267a3a102b.mp4
16912,Cable Incline Bench Press,Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/36221a5027264685ef62f424bdfacaa8.mp4
17012,Cable Incline Fly (on stability ball),Strength,Chest,"Cable, Stability ball",Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior",https://gymvisual.com/modules/productmedia/uploads/f785bedfa2e0e5aff640238ae49e0612.mp4
17112,Cable Incline Fly,Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior",https://gymvisual.com/modules/productmedia/uploads/d346e8c39e15c5d44b7d3a098e78d17f.mp4
17312,Cable Incline Triceps Extension,Strength,Upper Arms,Cable,Male,Triceps Brachii,,https://gymvisual.com/modules/productmedia/uploads/01731201cableinclinetricepsextensionupperarmsview.mp4
17512,Cable Kneeling Crunch,Strength,Waist,Cable,Male,Rectus Abdominis,Obliques,https://gymvisual.com/modules/productmedia/uploads/c118b8ab94f2b1960e1fbc0f4f24a334.mp4
17612,Cable Kneeling Triceps Extension,Strength,Upper Arms,Cable,Male,Triceps Brachii,,https://gymvisual.com/modules/productmedia/uploads/ae9a8914a0b10089853322af19c73649.mp4
